archive,source_partition,source_image_name,source_index,sample_id,inclusion_status,exclusion_reason,selection_rule,cytoplasm_instance_index,nucleus_instance_index,nucleus_area_px,whole_cell_area_px,raw_whole_cell_fraction_at_128,nucleus_to_whole_cell_fraction,n_candidate_nuclei_in_normalized_crop,crowding_group,normalized_crop_side_px,target_whole_cell_fraction,outcome_blind,scale_shift_tertile,nucleus_occupancy_tertile
Cx22-Pair.zip,Pair,00000,0,Cx22-Pair:000001,included,,largest_matched_cytoplasm_instance,0,0,484,18771,0.07171630859375,0.02578445474402003,1,not_crowded,193,0.5057373046875,True,high,middle
Cx22-Pair.zip,Pair,00000,1,Cx22-Pair:000002,included,,largest_matched_cytoplasm_instance,0,0,384,6941,0.0264892578125,0.05532344042645152,1,not_crowded,118,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00001,2,Cx22-Pair:000003,included,,largest_matched_cytoplasm_instance,1,0,509,17176,0.06597900390625,0.02963437354448067,2,crowded,185,0.5057373046875,True,middle,high
Cx22-Pair.zip,Pair,00001,3,Cx22-Pair:000004,included,,largest_matched_cytoplasm_instance,1,1,512,20820,0.079345703125,0.024591738712776177,1,not_crowded,203,0.5057373046875,True,high,middle
Cx22-Pair.zip,Pair,00002,4,Cx22-Pair:000005,included,,largest_matched_cytoplasm_instance,1,0,2317,62553,0.23712158203125,0.03704058958003613,2,crowded,352,0.5057373046875,True,high,high
Cx22-Pair.zip,Pair,00002,5,Cx22-Pair:000006,included,,largest_matched_cytoplasm_instance,1,1,1272,24172,0.0931396484375,0.05262286943571074,1,not_crowded,220,0.5057373046875,True,high,high
Cx22-Pair.zip,Pair,00002,6,Cx22-Pair:000007,included,,largest_matched_cytoplasm_instance,0,0,939,32702,0.12451171875,0.02871384013210201,2,crowded,256,0.5057373046875,True,high,middle
Cx22-Pair.zip,Pair,00004,7,Cx22-Pair:000008,included,,largest_matched_cytoplasm_instance,1,0,529,9162,0.03466796875,0.057738485046932984,2,crowded,135,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00004,8,Cx22-Pair:000009,included,,largest_matched_cytoplasm_instance,0,0,223,10196,0.0386962890625,0.021871322087092977,2,crowded,142,0.5057373046875,True,low,middle
Cx22-Pair.zip,Pair,00004,9,Cx22-Pair:000010,included,,largest_matched_cytoplasm_instance,0,1,283,15354,0.0584716796875,0.01843167904129217,2,crowded,175,0.5057373046875,True,middle,middle
Cx22-Pair.zip,Pair,00005,10,Cx22-Pair:000011,included,,largest_matched_cytoplasm_instance,0,1,302,12694,0.0484619140625,0.023790767291633843,1,not_crowded,162,0.5057373046875,True,middle,middle
Cx22-Pair.zip,Pair,00006,11,Cx22-Pair:000012,included,,largest_matched_cytoplasm_instance,1,1,103,3914,0.0147705078125,0.02631578947368421,2,crowded,88,0.5057373046875,True,low,middle
Cx22-Pair.zip,Pair,00006,12,Cx22-Pair:000013,included,,largest_matched_cytoplasm_instance,0,0,178,12561,0.04766845703125,0.014170846270201418,2,crowded,168,0.5057373046875,True,middle,low
Cx22-Pair.zip,Pair,00008,13,Cx22-Pair:000014,included,,largest_matched_cytoplasm_instance,1,0,455,9777,0.03704833984375,0.046537792778971056,2,crowded,167,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00008,14,Cx22-Pair:000015,included,,largest_matched_cytoplasm_instance,0,1,366,12619,0.04766845703125,0.02900388303352088,2,crowded,176,0.5057373046875,True,middle,middle
Cx22-Pair.zip,Pair,00009,15,Cx22-Pair:000016,included,,largest_matched_cytoplasm_instance,1,1,566,29930,0.11334228515625,0.018910791847644503,2,crowded,244,0.5057373046875,True,high,middle
Cx22-Pair.zip,Pair,00009,16,Cx22-Pair:000017,included,,largest_matched_cytoplasm_instance,0,1,302,5309,0.02032470703125,0.05688453569410435,2,crowded,103,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00010,17,Cx22-Pair:000018,included,,largest_matched_cytoplasm_instance,0,0,201,11143,0.04229736328125,0.018038230279098986,2,crowded,152,0.5057373046875,True,low,middle
Cx22-Pair.zip,Pair,00011,18,Cx22-Pair:000019,included,,largest_matched_cytoplasm_instance,0,0,320,16050,0.061279296875,0.019937694704049845,2,crowded,179,0.5057373046875,True,middle,middle
Cx22-Pair.zip,Pair,00011,19,Cx22-Pair:000020,included,,largest_matched_cytoplasm_instance,1,1,316,24552,0.0938720703125,0.012870641902899967,1,not_crowded,221,0.5057373046875,True,high,low
Cx22-Pair.zip,Pair,00012,20,Cx22-Pair:000021,included,,largest_matched_cytoplasm_instance,0,0,181,6648,0.02545166015625,0.027226233453670277,2,crowded,149,0.5057373046875,True,low,middle
Cx22-Pair.zip,Pair,00012,21,Cx22-Pair:000022,included,,largest_matched_cytoplasm_instance,1,1,267,11176,0.042724609375,0.023890479599141017,2,crowded,163,0.5057373046875,True,low,middle
Cx22-Pair.zip,Pair,00012,22,Cx22-Pair:000023,included,,largest_matched_cytoplasm_instance,0,0,351,8795,0.03375244140625,0.03990903922683343,1,not_crowded,139,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00013,23,Cx22-Pair:000024,included,,largest_matched_cytoplasm_instance,1,0,250,13014,0.0498046875,0.01921008145074535,2,crowded,161,0.5057373046875,True,middle,middle
Cx22-Pair.zip,Pair,00013,24,Cx22-Pair:000025,included,,largest_matched_cytoplasm_instance,1,1,595,11399,0.04327392578125,0.05219756118957803,2,crowded,151,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00014,25,Cx22-Pair:000026,included,,largest_matched_cytoplasm_instance,1,0,225,15008,0.05706787109375,0.014992004264392324,2,crowded,173,0.5057373046875,True,middle,low
Cx22-Pair.zip,Pair,00014,26,Cx22-Pair:000027,included,,largest_matched_cytoplasm_instance,1,1,299,9510,0.036376953125,0.03144058885383807,2,crowded,138,0.5057373046875,True,low,high
Cx22-Pair.zip,Pair,00016,27,Cx22-Pair:000028,included,,largest_matched_cytoplasm_instance,0,0,222,19671,0.0750732421875,0.011285648924813176,2,crowded,198,0.5057373046875,True,high,low
