measurement,degradation_type,severity_level,n_test,empirical_coverage,coverage_gap,standard_error_at_target,z_score_vs_target,two_sided_pvalue_normal_approx,bonferroni_pvalue,bonferroni_significant_0p05,low_n_warning
nc_ratio,contrast_change,0.75,184,0.8695652173913043,-0.0304347826086957,0.022116293423234568,-1.3761249241123754,0.16878296028815445,1.0,False,False
nc_ratio,contrast_change,1.25,184,0.907608695652174,0.007608695652173925,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,False
nc_ratio,contrast_change,1.5,184,0.8586956521739131,-0.04130434782608694,0.022116293423234568,-1.8675981112953632,0.06181810989097465,1.0,False,False
nc_ratio,gaussian_blur,1.0,184,0.8967391304347826,-0.003260869565217428,0.022116293423234568,-0.1474419561548988,0.8827831911528248,1.0,False,False
nc_ratio,gaussian_blur,2.0,184,0.907608695652174,0.007608695652173925,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,False
nc_ratio,gaussian_blur,3.0,184,0.9130434782608695,0.01304347826086949,0.022116293423234568,0.5897678246195852,0.5553463166714243,1.0,False,False
nc_ratio,gaussian_noise,10.0,184,0.8967391304347826,-0.003260869565217428,0.022116293423234568,-0.1474419561548988,0.8827831911528248,1.0,False,False
nc_ratio,gaussian_noise,20.0,184,0.8695652173913043,-0.0304347826086957,0.022116293423234568,-1.3761249241123754,0.16878296028815445,1.0,False,False
nc_ratio,gaussian_noise,30.0,184,0.7880434782608695,-0.11195652173913051,0.022116293423234568,-5.062173827984806,4.1450282521263697e-07,9.948067805103287e-06,True,False
nc_ratio,low_resolution,0.25,184,0.907608695652174,0.007608695652173925,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,False
nc_ratio,low_resolution,0.5,184,0.907608695652174,0.007608695652173925,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,False
nc_ratio,low_resolution,0.75,184,0.907608695652174,0.007608695652173925,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,False
circularity,contrast_change,0.75,182,0.9010989010989011,0.001098901098901095,0.022237479499833034,0.049416621110739904,0.9605872826131646,1.0,False,False
circularity,contrast_change,1.25,183,0.9180327868852459,0.0180327868852459,0.022176638128637183,0.8131433980500301,0.4161358470782788,1.0,False,False
circularity,contrast_change,1.5,184,0.8586956521739131,-0.04130434782608694,0.022116293423234568,-1.8675981112953632,0.06181810989097465,1.0,False,False
circularity,gaussian_blur,1.0,183,0.8797814207650273,-0.020218579234972722,0.022176638128637183,-0.9117062341773086,0.3619233813277404,1.0,False,False
circularity,gaussian_blur,2.0,183,0.907103825136612,0.0071038251366120075,0.022176638128637183,0.3203292174136476,0.7487187768042622,1.0,False,False
circularity,gaussian_blur,3.0,183,0.912568306010929,0.012568306010928953,0.022176638128637183,0.5667363077318388,0.5708933492129699,1.0,False,False
circularity,gaussian_noise,10.0,183,0.8852459016393442,-0.014754098360655776,0.022176638128637183,-0.6652991438591174,0.5058591780795971,1.0,False,False
circularity,gaussian_noise,20.0,183,0.8524590163934426,-0.04754098360655745,0.022176638128637183,-2.1437416857682647,0.032053590110682505,0.7692861626563801,False,False
circularity,gaussian_noise,30.0,183,0.6284153005464481,-0.2715846994535519,0.022176638128637183,-12.24643238881409,1.7555003294446593e-34,4.2132007906671825e-33,True,False
circularity,low_resolution,0.25,183,0.8852459016393442,-0.014754098360655776,0.022176638128637183,-0.6652991438591174,0.5058591780795971,1.0,False,False
circularity,low_resolution,0.5,183,0.8907103825136612,-0.00928961748633883,0.022176638128637183,-0.4188920535409261,0.6752950248477189,1.0,False,False
circularity,low_resolution,0.75,183,0.8961748633879781,-0.0038251366120218844,0.022176638128637183,-0.17248496322273488,0.8630562818072562,1.0,False,False
