measurement,degradation_type,severity_level,split,n_total,n_nonfinite,nonfinite_reason
circularity,contrast_change,0.75,calibration,183,1,area_zero:1
circularity,contrast_change,0.75,test,184,2,area_zero:2
circularity,contrast_change,1.25,calibration,183,1,area_zero:1
circularity,contrast_change,1.25,test,184,1,area_zero:1
circularity,contrast_change,1.5,calibration,183,1,area_zero:1
circularity,contrast_change,1.5,test,184,0,none
circularity,gaussian_blur,1.0,calibration,183,1,area_zero:1
circularity,gaussian_blur,1.0,test,184,1,area_zero:1
circularity,gaussian_blur,2.0,calibration,183,1,area_zero:1
circularity,gaussian_blur,2.0,test,184,1,area_zero:1
circularity,gaussian_blur,3.0,calibration,183,1,area_zero:1
circularity,gaussian_blur,3.0,test,184,1,area_zero:1
circularity,gaussian_noise,10.0,calibration,183,1,area_zero:1
circularity,gaussian_noise,10.0,test,184,1,area_zero:1
circularity,gaussian_noise,20.0,calibration,183,1,area_zero:1
circularity,gaussian_noise,20.0,test,184,1,area_zero:1
circularity,gaussian_noise,30.0,calibration,183,3,area_zero:3
circularity,gaussian_noise,30.0,test,184,1,area_zero:1
circularity,low_resolution,0.25,calibration,183,1,area_zero:1
circularity,low_resolution,0.25,test,184,1,area_zero:1
circularity,low_resolution,0.5,calibration,183,1,area_zero:1
circularity,low_resolution,0.5,test,184,1,area_zero:1
circularity,low_resolution,0.75,calibration,183,1,area_zero:1
circularity,low_resolution,0.75,test,184,1,area_zero:1
nc_ratio,contrast_change,0.75,calibration,183,0,none
nc_ratio,contrast_change,0.75,test,184,0,none
nc_ratio,contrast_change,1.25,calibration,183,0,none
nc_ratio,contrast_change,1.25,test,184,0,none
nc_ratio,contrast_change,1.5,calibration,183,0,none
nc_ratio,contrast_change,1.5,test,184,0,none
nc_ratio,gaussian_blur,1.0,calibration,183,0,none
nc_ratio,gaussian_blur,1.0,test,184,0,none
nc_ratio,gaussian_blur,2.0,calibration,183,0,none
nc_ratio,gaussian_blur,2.0,test,184,0,none
nc_ratio,gaussian_blur,3.0,calibration,183,0,none
nc_ratio,gaussian_blur,3.0,test,184,0,none
nc_ratio,gaussian_noise,10.0,calibration,183,0,none
nc_ratio,gaussian_noise,10.0,test,184,0,none
nc_ratio,gaussian_noise,20.0,calibration,183,0,none
nc_ratio,gaussian_noise,20.0,test,184,0,none
nc_ratio,gaussian_noise,30.0,calibration,183,0,none
nc_ratio,gaussian_noise,30.0,test,184,0,none
nc_ratio,low_resolution,0.25,calibration,183,0,none
nc_ratio,low_resolution,0.25,test,184,0,none
nc_ratio,low_resolution,0.5,calibration,183,0,none
nc_ratio,low_resolution,0.5,test,184,0,none
nc_ratio,low_resolution,0.75,calibration,183,0,none
nc_ratio,low_resolution,0.75,test,184,0,none
