seed,analysis,measurement,q_hat,n_calibration_cells_total,n_calibration_cells_finite,n_test_cells_total,n_test_cells_finite,valid_prediction_rate,finite_case_coverage,failure_aware_coverage,q_hat_joint,scale_nc_ratio,scale_circularity,n_calibration_cells_jointly_finite,n_test_cells_jointly_finite,joint_valid_prediction_rate,joint_finite_case_coverage,joint_failure_aware_coverage
42,marginal,nc_ratio,0.5423212968435716,183,183,184,184,1.0,0.9021739130434783,0.9021739130434783,,,,,,,,
42,marginal,circularity,0.23946808626189375,183,182,184,183,0.9945652173913043,0.8688524590163934,0.8641304347826086,,,,,,,,
42,joint,nc_ratio_and_circularity,,183,,184,,,,,8.090516791654125,0.06844597302612576,0.07717264336484542,182,183,0.9945652173913043,0.907103825136612,0.9021739130434783
43,marginal,nc_ratio,0.4564010457111676,183,183,184,184,1.0,0.875,0.875,,,,,,,,
43,marginal,circularity,0.24761721124806046,183,182,184,183,0.9945652173913043,0.8688524590163934,0.8641304347826086,,,,,,,,
43,joint,nc_ratio_and_circularity,,183,,184,,,,,7.305419879236943,0.08056602210091146,0.0719026915843573,182,183,0.9945652173913043,0.8961748633879781,0.8913043478260869
44,marginal,nc_ratio,0.478429844483205,183,183,184,184,1.0,0.8641304347826086,0.8641304347826086,,,,,,,,
44,marginal,circularity,0.23196614647027303,183,182,184,184,1.0,0.8532608695652174,0.8532608695652174,,,,,,,,
44,joint,nc_ratio_and_circularity,,183,,184,,,,,7.757588723838143,0.06167249405901698,0.08539428682082162,182,184,1.0,0.8641304347826086,0.8641304347826086
45,marginal,nc_ratio,0.5337883818138136,183,183,184,184,1.0,0.9130434782608695,0.9130434782608695,,,,,,,,
45,marginal,circularity,0.23677268270662633,183,182,184,183,0.9945652173913043,0.8633879781420765,0.8586956521739131,,,,,,,,
45,joint,nc_ratio_and_circularity,,183,,184,,,,,7.603492760312355,0.0716440422322775,0.06820134149261503,182,183,0.9945652173913043,0.8907103825136612,0.8858695652173914
46,marginal,nc_ratio,0.49894556410868807,183,183,184,184,1.0,0.8967391304347826,0.8967391304347826,,,,,,,,
46,marginal,circularity,0.2342466362737789,183,182,184,184,1.0,0.8586956521739131,0.8586956521739131,,,,,,,,
46,joint,nc_ratio_and_circularity,,183,,184,,,,,7.4092055817961695,0.06734130381461648,0.07310205326644337,182,184,1.0,0.8858695652173914,0.8858695652173914
