method,measurement,degradation_type,severity_level,q_hat,n_calibration_total,n_calibration_scores_finite,n_test,empirical_coverage,coverage_gap,mean_interval_width,low_n_warning
global,nc_ratio,contrast_change,0.75,0.49894556410868807,183,183,184,0.8695652173913043,-0.0304347826086957,0.8744172208334227,False
mondrian,nc_ratio,contrast_change,0.75,0.5145378813024617,183,183,184,0.8695652173913043,-0.0304347826086957,0.8981730748706538,False
global,nc_ratio,contrast_change,1.25,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8617966039425504,False
mondrian,nc_ratio,contrast_change,1.25,0.40853698763137514,183,183,184,0.8586956521739131,-0.04130434782608694,0.7226384501451552,False
global,nc_ratio,contrast_change,1.5,0.49894556410868807,183,183,184,0.8586956521739131,-0.04130434782608694,0.848822042666303,False
mondrian,nc_ratio,contrast_change,1.5,0.5447449564326345,183,183,184,0.875,-0.025000000000000022,0.9134580133529183,False
global,nc_ratio,gaussian_blur,1.0,0.49894556410868807,183,183,184,0.8967391304347826,-0.003260869565217428,0.8712471446909937,False
mondrian,nc_ratio,gaussian_blur,1.0,0.4349415413455746,183,183,184,0.8858695652173914,-0.01413043478260867,0.7711897316218229,False
global,nc_ratio,gaussian_blur,2.0,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8716094980375912,False
mondrian,nc_ratio,gaussian_blur,2.0,0.46458109404063874,183,183,184,0.8967391304347826,-0.003260869565217428,0.8189893988453109,False
global,nc_ratio,gaussian_blur,3.0,0.49894556410868807,183,183,184,0.9130434782608695,0.01304347826086949,0.870558332449132,False
mondrian,nc_ratio,gaussian_blur,3.0,0.5420090345072905,183,183,184,0.9239130434782609,0.023913043478260843,0.9348637309655501,False
global,nc_ratio,gaussian_noise,10.0,0.49894556410868807,183,183,184,0.8967391304347826,-0.003260869565217428,0.867384089443139,False
mondrian,nc_ratio,gaussian_noise,10.0,0.4501711691194279,183,183,184,0.8913043478260869,-0.008695652173913104,0.7929075405616974,False
global,nc_ratio,gaussian_noise,20.0,0.49894556410868807,183,183,184,0.8695652173913043,-0.0304347826086957,0.8589063014669819,False
mondrian,nc_ratio,gaussian_noise,20.0,0.5844146862653952,183,183,184,0.8913043478260869,-0.008695652173913104,0.9808350685825119,False
global,nc_ratio,gaussian_noise,30.0,0.49894556410868807,183,183,184,0.7880434782608695,-0.11195652173913051,0.8063487524856804,False
mondrian,nc_ratio,gaussian_noise,30.0,1.1105483425836697,183,183,184,0.907608695652174,0.007608695652173925,1.4946267556486903,False
global,nc_ratio,low_resolution,0.25,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8703135080418015,False
