method,measurement,degradation_type,severity_level,q_hat,n_calibration_total,n_calibration_scores_finite,n_test,empirical_coverage,coverage_gap,mean_interval_width,median_interval_width,standard_error_at_target,z_score_vs_target,two_sided_pvalue_normal_approx,bonferroni_pvalue,bonferroni_significant_0p05,width_ratio_vs_mondrian,low_n_warning
global,nc_ratio,all,all,0.49894556410868807,2196,2196,2208,0.8858695652173914,-0.01413043478260867,0.861851805072008,0.9834249016730895,0.006384423980690614,-2.2132669799727425,0.026879244697072778,nan,False,nan,False
mondrian,nc_ratio,all,all,nan,2196,2196,2208,0.8885869565217391,-0.011413043478260887,0.8898029235669607,0.8810567112236019,0.006384423980690614,-1.787638714593375,0.07383431516145557,nan,False,1.0,False
cqr,nc_ratio,all,all,0.07284708786305405,2196,2196,2208,0.8790760869565217,-0.020923913043478293,0.8099363467322005,0.5322248283683582,0.006384423980690614,-3.277337643421187,0.0010479097657334984,nan,False,0.9102423978170375,False
global,nc_ratio,contrast_change,0.75,0.49894556410868807,183,183,184,0.8695652173913043,-0.0304347826086957,0.8744172208334227,0.997891128217376,0.022116293423234568,-1.3761249241123754,0.16878296028815445,1.0,False,nan,False
mondrian,nc_ratio,contrast_change,0.75,0.5145378813024617,183,183,184,0.8695652173913043,-0.0304347826086957,0.8981730748706538,1.029075762604923,0.022116293423234568,-1.3761249241123754,0.16878296028815445,1.0,False,nan,False
cqr,nc_ratio,contrast_change,0.75,0.07284708786305405,2196,2196,184,0.875,-0.025000000000000022,0.8624775820966515,0.5318310949861331,0.022116293423234568,-1.130388330520879,0.2583126291206035,1.0,False,0.9602576677338688,False
global,nc_ratio,contrast_change,1.25,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8617966039425504,0.9978911282173759,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
mondrian,nc_ratio,contrast_change,1.25,0.40853698763137514,183,183,184,0.8586956521739131,-0.04130434782608694,0.7226384501451552,0.8170739752627503,0.022116293423234568,-1.8675981112953632,0.06181810989097465,1.0,False,nan,False
cqr,nc_ratio,contrast_change,1.25,0.07284708786305405,2196,2196,184,0.8804347826086957,-0.019565217391304346,0.7283247020468144,0.5047373864709659,0.022116293423234568,-0.8846517369293828,0.3763444934986554,1.0,False,1.0078687369880708,False
global,nc_ratio,contrast_change,1.5,0.49894556410868807,183,183,184,0.8586956521739131,-0.04130434782608694,0.848822042666303,0.9625288016531146,0.022116293423234568,-1.8675981112953632,0.06181810989097465,1.0,False,nan,False
mondrian,nc_ratio,contrast_change,1.5,0.5447449564326345,183,183,184,0.875,-0.025000000000000022,0.9134580133529183,1.0083281939770612,0.022116293423234568,-1.130388330520879,0.2583126291206035,1.0,False,nan,False
cqr,nc_ratio,contrast_change,1.5,0.07284708786305405,2196,2196,184,0.7989130434782609,-0.10108695652173916,0.676802050501273,0.48194716311090424,0.022116293423234568,-4.570700640801813,4.860962614879089e-06,0.00011666310275709814,True,0.7409229987670902,False
global,nc_ratio,gaussian_blur,1.0,0.49894556410868807,183,183,184,0.8967391304347826,-0.003260869565217428,0.8712471446909937,0.9978911282173759,0.022116293423234568,-0.1474419561548988,0.8827831911528248,1.0,False,nan,False
mondrian,nc_ratio,gaussian_blur,1.0,0.4349415413455746,183,183,184,0.8858695652173914,-0.01413043478260867,0.7711897316218229,0.8698830826911492,0.022116293423234568,-0.6389151433378865,0.5228781360745752,1.0,False,nan,False
cqr,nc_ratio,gaussian_blur,1.0,0.07284708786305405,2196,2196,184,0.8804347826086957,-0.019565217391304346,0.7218581525546408,0.4062529746352954,0.022116293423234568,-0.8846517369293828,0.3763444934986554,1.0,False,0.936031851768258,False
global,nc_ratio,gaussian_blur,2.0,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8716094980375912,0.9978911282173759,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
mondrian,nc_ratio,gaussian_blur,2.0,0.46458109404063874,183,183,184,0.8967391304347826,-0.003260869565217428,0.8189893988453109,0.9291621880812775,0.022116293423234568,-0.1474419561548988,0.8827831911528248,1.0,False,nan,False
cqr,nc_ratio,gaussian_blur,2.0,0.07284708786305405,2196,2196,184,0.8804347826086957,-0.019565217391304346,0.722996623257162,0.4163718018590732,0.022116293423234568,-0.8846517369293828,0.3763444934986554,1.0,False,0.8827911866460193,False
global,nc_ratio,gaussian_blur,3.0,0.49894556410868807,183,183,184,0.9130434782608695,0.01304347826086949,0.870558332449132,0.9978911282173759,0.022116293423234568,0.5897678246195852,0.5553463166714243,1.0,False,nan,False
mondrian,nc_ratio,gaussian_blur,3.0,0.5420090345072905,183,183,184,0.9239130434782609,0.023913043478260843,0.9348637309655501,1.0585993558498856,0.022116293423234568,1.081241011802578,0.2795899192579955,1.0,False,nan,False
cqr,nc_ratio,gaussian_blur,3.0,0.07284708786305405,2196,2196,184,0.8369565217391305,-0.06304347826086953,0.7150476012073489,0.42453336156003907,0.022116293423234568,-2.8505444856613433,0.004364444468326678,0.10474666723984027,False,0.7648682663823424,False
global,nc_ratio,gaussian_noise,10.0,0.49894556410868807,183,183,184,0.8967391304347826,-0.003260869565217428,0.867384089443139,0.9963630101946526,0.022116293423234568,-0.1474419561548988,0.8827831911528248,1.0,False,nan,False
mondrian,nc_ratio,gaussian_noise,10.0,0.4501711691194279,183,183,184,0.8913043478260869,-0.008695652173913104,0.7929075405616974,0.9003423382388557,0.022116293423234568,-0.39317854974639516,0.6941876114228405,1.0,False,nan,False
cqr,nc_ratio,gaussian_noise,10.0,0.07284708786305405,2196,2196,184,0.9293478260869565,0.02934782608695652,0.9352234000734377,0.7061288002788348,0.022116293423234568,1.3269776053940743,0.1845160908034101,1.0,False,1.1794860714919213,False
global,nc_ratio,gaussian_noise,20.0,0.49894556410868807,183,183,184,0.8695652173913043,-0.0304347826086957,0.8589063014669819,0.9657494330141705,0.022116293423234568,-1.3761249241123754,0.16878296028815445,1.0,False,nan,False
mondrian,nc_ratio,gaussian_noise,20.0,0.5844146862653952,183,183,184,0.8913043478260869,-0.008695652173913104,0.9808350685825119,1.0512185551708777,0.022116293423234568,-0.39317854974639516,0.6941876114228405,1.0,False,nan,False
cqr,nc_ratio,gaussian_noise,20.0,0.07284708786305405,2196,2196,184,0.9347826086956522,0.034782608695652195,1.0839973386565154,1.0107021275817676,0.022116293423234568,1.5727141989855706,0.11578501055236064,1.0,False,1.105177999215599,False
global,nc_ratio,gaussian_noise,30.0,0.49894556410868807,183,183,184,0.7880434782608695,-0.11195652173913051,0.8063487524856804,0.8432786133165191,0.022116293423234568,-5.062173827984806,4.1450282521263697e-07,9.948067805103287e-06,True,nan,False
mondrian,nc_ratio,gaussian_noise,30.0,1.1105483425836697,183,183,184,0.907608695652174,0.007608695652173925,1.4946267556486903,1.4548813917915009,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
cqr,nc_ratio,gaussian_noise,30.0,0.07284708786305405,2196,2196,184,0.9293478260869565,0.02934782608695652,1.2407933559095603,1.3082733098327441,0.022116293423234568,1.3269776053940743,0.1845160908034101,1.0,False,0.8301693725341064,False
global,nc_ratio,low_resolution,0.25,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8703135080418015,0.9978911282173759,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
mondrian,nc_ratio,low_resolution,0.25,0.48368064916288267,183,183,184,0.907608695652174,0.007608695652173925,0.8471437799692909,0.9673612983257652,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
cqr,nc_ratio,low_resolution,0.25,0.07284708786305405,2196,2196,184,0.8641304347826086,-0.035869565217391375,0.6687091263131313,0.39437259173982575,0.022116293423234568,-1.6218615177038718,0.10483300285833823,1.0,False,0.7893691037162217,False
global,nc_ratio,low_resolution,0.5,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8707841327439726,0.997891128217376,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
mondrian,nc_ratio,low_resolution,0.5,0.4405283556118009,183,183,184,0.8913043478260869,-0.008695652173913104,0.7797513640517368,0.8810567112236019,0.022116293423234568,-0.39317854974639516,0.6941876114228405,1.0,False,nan,False
cqr,nc_ratio,low_resolution,0.5,0.07284708786305405,2196,2196,184,0.875,-0.025000000000000022,0.6825826221782426,0.4009730312883182,0.022116293423234568,-1.130388330520879,0.2583126291206035,1.0,False,0.8753849671149186,False
global,nc_ratio,low_resolution,0.75,0.49894556410868807,183,183,184,0.907608695652174,0.007608695652173925,0.8700340340625254,0.9978911282173759,0.022116293423234568,0.34403123102809385,0.7308227990849436,1.0,False,nan,False
mondrian,nc_ratio,low_resolution,0.75,0.4056636272476857,183,183,184,0.8641304347826086,-0.035869565217391375,0.7230581741881907,0.8113272544953714,0.022116293423234568,-1.6218615177038718,0.10483300285833823,1.0,False,nan,False
cqr,nc_ratio,low_resolution,0.75,0.07284708786305405,2196,2196,184,0.8641304347826086,-0.035869565217391375,0.6804236013248923,0.39475988782041505,0.022116293423234568,-1.6218615177038718,0.10483300285833823,1.0,False,0.9410357639464264,False
global,circularity,all,all,0.25242161435469357,2196,2182,2196,0.8679417122040073,-0.032058287795992735,0.48628189194956695,0.5048432287093871,0.006401843996644798,-5.007664637375491,5.509442022116512e-07,nan,False,nan,False
mondrian,circularity,all,all,nan,2196,2182,2196,0.8788706739526412,-0.021129326047358843,0.4913611024065947,0.4497634449812771,0.006401843996644798,-3.3005062382702093,0.0009651056801929101,nan,False,1.0,False
cqr,circularity,all,all,0.010429320800018349,2196,2182,2196,0.8592896174863388,-0.040710382513661214,0.2708453262256085,0.25023182842674263,0.006401843996644798,-6.35916503666717,2.0285336778058784e-10,nan,False,0.5512144223445014,False
global,circularity,contrast_change,0.75,0.25242161435469357,183,182,182,0.9010989010989011,0.001098901098901095,0.4827163467079916,0.5048432287093871,0.022237479499833034,0.049416621110739904,0.9605872826131646,1.0,False,nan,False
mondrian,circularity,contrast_change,0.75,0.22089571105166284,183,182,182,0.8791208791208791,-0.020879120879120916,0.4299658960083529,0.44179142210332567,0.022237479499833034,-0.9389158011040633,0.347773975843031,1.0,False,nan,False
cqr,circularity,contrast_change,0.75,0.010429320800018349,2196,2182,182,0.8901098901098901,-0.009890109890109966,0.2593671338802778,0.24272486183586128,0.022237479499833034,-0.44474958999666414,0.6565007277753402,1.0,False,0.6032272240383436,False
global,circularity,contrast_change,1.25,0.25242161435469357,183,182,183,0.9180327868852459,0.0180327868852459,0.4864779300237595,0.5048432287093871,0.022176638128637183,0.8131433980500301,0.4161358470782788,1.0,False,nan,False
mondrian,circularity,contrast_change,1.25,0.23462686175724412,183,182,183,0.9016393442622951,0.0016393442622950616,0.4568792221310043,0.46925372351448824,0.022176638128637183,0.07392212709545637,0.9410723491398275,1.0,False,nan,False
cqr,circularity,contrast_change,1.25,0.010429320800018349,2196,2182,183,0.8633879781420765,-0.03661202185792356,0.26692629292931486,0.24371534202041634,0.022176638128637183,-1.6509275051318824,0.09875337869452673,1.0,False,0.5842381968790368,False
global,circularity,contrast_change,1.5,0.25242161435469357,183,182,184,0.8586956521739131,-0.04130434782608694,0.48973331943662424,0.5048432287093871,0.022116293423234568,-1.8675981112953632,0.06181810989097465,1.0,False,nan,False
mondrian,circularity,contrast_change,1.5,0.2700617109494903,183,182,184,0.8858695652173914,-0.01413043478260867,0.5189266769857211,0.5401234218989805,0.022116293423234568,-0.6389151433378865,0.5228781360745752,1.0,False,nan,False
cqr,circularity,contrast_change,1.5,0.010429320800018349,2196,2182,184,0.8804347826086957,-0.019565217391304346,0.2832916299515062,0.25611486647071846,0.022116293423234568,-0.8846517369293828,0.3763444934986554,1.0,False,0.5459184168311726,False
global,circularity,gaussian_blur,1.0,0.25242161435469357,183,182,183,0.8797814207650273,-0.020218579234972722,0.48196644981696235,0.5048432287093871,0.022176638128637183,-0.9117062341773086,0.3619233813277404,1.0,False,nan,False
mondrian,circularity,gaussian_blur,1.0,0.23462686175724412,183,182,183,0.8688524590163934,-0.031147540983606614,0.4530841196397904,0.46925372351448824,0.022176638128637183,-1.4045204148136912,0.16016393690178987,1.0,False,nan,False
cqr,circularity,gaussian_blur,1.0,0.010429320800018349,2196,2182,183,0.8360655737704918,-0.06393442622950818,0.2637643409903167,0.2504382095092774,0.022176638128637183,-2.8829629567228334,0.0039395376550576035,0.09454890372138249,False,0.5821531357135489,False
global,circularity,gaussian_blur,2.0,0.25242161435469357,183,182,183,0.907103825136612,0.0071038251366120075,0.47661421078115,0.5048432287093871,0.022176638128637183,0.3203292174136476,0.7487187768042622,1.0,False,nan,False
mondrian,circularity,gaussian_blur,2.0,0.23116681271315354,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4430618705427591,0.46233362542630707,0.022176638128637183,-0.17248496322273488,0.8630562818072562,1.0,False,nan,False
cqr,circularity,gaussian_blur,2.0,0.010429320800018349,2196,2182,183,0.8306010928961749,-0.06939890710382512,0.2586000012275488,0.2485156616920472,0.022176638128637183,-3.1293700470410246,0.001751815409246332,0.04204356982191197,True,0.5836656648218429,False
global,circularity,gaussian_blur,3.0,0.25242161435469357,183,182,183,0.912568306010929,0.012568306010928953,0.4739738771404113,0.5048432287093871,0.022176638128637183,0.5667363077318388,0.5708933492129699,1.0,False,nan,False
mondrian,circularity,gaussian_blur,3.0,0.22433508146234138,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4302592891141838,0.44867016292468276,0.022176638128637183,-0.17248496322273488,0.8630562818072562,1.0,False,nan,False
cqr,circularity,gaussian_blur,3.0,0.010429320800018349,2196,2182,183,0.8306010928961749,-0.06939890710382512,0.2542687438593026,0.24733423802795418,0.022176638128637183,-3.1293700470410246,0.001751815409246332,0.04204356982191197,True,0.5909663086711971,False
global,circularity,gaussian_noise,10.0,0.25242161435469357,183,182,183,0.8852459016393442,-0.014754098360655776,0.49290193710607383,0.5048432287093871,0.022176638128637183,-0.6652991438591174,0.5058591780795971,1.0,False,nan,False
mondrian,circularity,gaussian_noise,10.0,0.2564388846657334,183,182,183,0.8852459016393442,-0.014754098360655776,0.4997765270196316,0.5128777693314668,0.022176638128637183,-0.6652991438591174,0.5058591780795971,1.0,False,nan,False
cqr,circularity,gaussian_noise,10.0,0.010429320800018349,2196,2182,183,0.8579234972677595,-0.042076502732240506,0.26862051296164513,0.24677514645996101,0.022176638128637183,-1.8973345954500735,0.05778379179936907,1.0,False,0.5374812509973953,False
global,circularity,gaussian_noise,20.0,0.25242161435469357,183,182,183,0.8524590163934426,-0.04754098360655745,0.5016768950881431,0.5048432287093871,0.022176638128637183,-2.1437416857682647,0.032053590110682505,0.7692861626563801,False,nan,False
mondrian,circularity,gaussian_noise,20.0,0.3119719415291308,183,182,183,0.9016393442622951,0.0016393442622950616,0.6076320222326693,0.6239438830582615,0.022176638128637183,0.07392212709545637,0.9410723491398275,1.0,False,nan,False
cqr,circularity,gaussian_noise,20.0,0.010429320800018349,2196,2182,183,0.8415300546448088,-0.05846994535519123,0.29164938515569766,0.2722006997817994,0.022176638128637183,-2.6365558664046422,0.008375240779976782,0.20100577871944275,False,0.47997698357645435,False
global,circularity,gaussian_noise,30.0,0.25242161435469357,183,180,183,0.6284153005464481,-0.2715846994535519,0.4924403180145507,0.5048432287093871,0.022176638128637183,-12.24643238881409,1.7555003294446593e-34,4.2132007906671825e-33,True,nan,False
mondrian,circularity,gaussian_noise,30.0,0.4369328446925025,183,180,183,0.8360655737704918,-0.06393442622950818,0.7718688158450847,0.7800709610740925,0.022176638128637183,-2.8829629567228334,0.0039395376550576035,0.09454890372138249,False,nan,False
cqr,circularity,gaussian_noise,30.0,0.010429320800018349,2196,2182,183,0.907103825136612,0.0071038251366120075,0.33068835042484473,0.2993136009925843,0.022176638128637183,0.3203292174136476,0.7487187768042622,1.0,False,0.4284255868826477,False
global,circularity,low_resolution,0.25,0.25242161435469357,183,182,183,0.8852459016393442,-0.014754098360655776,0.48774570695571184,0.5048432287093871,0.022176638128637183,-0.6652991438591174,0.5058591780795971,1.0,False,nan,False
mondrian,circularity,low_resolution,0.25,0.21335860088811875,183,182,183,0.8524590163934426,-0.04754098360655745,0.42081024999087363,0.4267172017762375,0.022176638128637183,-2.1437416857682647,0.032053590110682505,0.7692861626563801,False,nan,False
cqr,circularity,low_resolution,0.25,0.010429320800018349,2196,2182,183,0.8797814207650273,-0.020218579234972722,0.259357979163986,0.24293058726730354,0.022176638128637183,-0.9117062341773086,0.3619233813277404,1.0,False,0.6163299947413611,False
global,circularity,low_resolution,0.5,0.25242161435469357,183,182,183,0.8907103825136612,-0.00928961748633883,0.48426683432275747,0.5048432287093871,0.022176638128637183,-0.4188920535409261,0.6752950248477189,1.0,False,nan,False
mondrian,circularity,low_resolution,0.5,0.22095511184735428,183,182,183,0.8743169398907104,-0.025683060109289668,0.431487336656603,0.44191022369470856,0.022176638128637183,-1.1581133244954998,0.24681779312400987,1.0,False,nan,False
cqr,circularity,low_resolution,0.5,0.010429320800018349,2196,2182,183,0.8469945355191257,-0.05300546448087429,0.2564485411101524,0.24640935275497444,0.022176638128637183,-2.390148776086451,0.016841548952560823,0.4041971748614598,False,0.5943361932641043,False
global,circularity,low_resolution,0.75,0.25242161435469357,183,182,183,0.8961748633879781,-0.0038251366120218844,0.4848305338873964,0.5048432287093871,0.022176638128637183,-0.17248496322273488,0.8630562818072562,1.0,False,nan,False
mondrian,circularity,low_resolution,0.75,0.22097643859071525,183,182,183,0.8688524590163934,-0.031147540983606614,0.43209507822624726,0.4419528771814305,0.022176638128637183,-1.4045204148136912,0.16016393690178987,1.0,False,nan,False
cqr,circularity,low_resolution,0.75,0.010429320800018349,2196,2182,183,0.8469945355191257,-0.05300546448087429,0.25703026696151987,0.24683916184844978,0.022176638128637183,-2.390148776086451,0.016841548952560823,0.4041971748614598,False,0.5948465509411275,False
