seed,partition,n_total,n_jointly_finite,joint_valid_prediction_rate,joint_finite_case_coverage,joint_failure_aware_coverage
42,pooled,1320,1320,1.0,0.9083333333333333,0.9083333333333333
42,Pair,820,820,1.0,0.9158536585365854,0.9158536585365854
42,Multi-Train,400,400,1.0,0.9075,0.9075
42,Multi-Test,100,100,1.0,0.85,0.85
43,pooled,1320,1320,1.0,0.865909090909091,0.865909090909091
43,Pair,820,820,1.0,0.8719512195121951,0.8719512195121951
43,Multi-Train,400,400,1.0,0.8725,0.8725
43,Multi-Test,100,100,1.0,0.79,0.79
44,pooled,1320,1320,1.0,0.9,0.9
44,Pair,820,820,1.0,0.9048780487804878,0.9048780487804878
44,Multi-Train,400,400,1.0,0.9025,0.9025
44,Multi-Test,100,100,1.0,0.85,0.85
45,pooled,1320,1320,1.0,0.8522727272727273,0.8522727272727273
45,Pair,820,820,1.0,0.8597560975609756,0.8597560975609756
45,Multi-Train,400,400,1.0,0.855,0.855
45,Multi-Test,100,100,1.0,0.78,0.78
46,pooled,1320,1320,1.0,0.8568181818181818,0.8568181818181818
46,Pair,820,820,1.0,0.8621951219512195,0.8621951219512195
46,Multi-Train,400,400,1.0,0.8625,0.8625
46,Multi-Test,100,100,1.0,0.79,0.79
