archive,source_partition,source_image_name,source_index,sample_id,inclusion_status,exclusion_reason,selection_rule,cytoplasm_instance_index,nucleus_instance_index,nucleus_area_px,whole_cell_area_px,raw_whole_cell_fraction_at_128,nucleus_to_whole_cell_fraction,n_candidate_nuclei_in_normalized_crop,crowding_group,normalized_crop_side_px,target_whole_cell_fraction,outcome_blind,scale_shift_tertile,nucleus_occupancy_tertile,protocol,reference_scope,ground_truth_role,selected_cytoplasm_instance_index_verified,selected_nucleus_instance_index_verified,foreground_dice,cytoplasm_dice,nucleus_dice,gt_cytoplasm_area,pred_cytoplasm_area,gt_nucleus_area,pred_nucleus_area,gt_nc_ratio,pred_nc_ratio,abs_error_nc_ratio,interval_lower_nc_ratio,interval_upper_nc_ratio,interval_width_nc_ratio,covered_nc_ratio,gt_circularity,pred_circularity,abs_error_circularity,interval_lower_circularity,interval_upper_circularity,interval_width_circularity,covered_circularity
Cx22-Pair.zip,Pair,00000,0,Cx22-Pair:000001,included,,largest_matched_cytoplasm_instance,0,0,484,18771,0.07171630859375,0.02578445474402003,1,not_crowded,193,0.5057373046875,True,high,middle,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,0,0,0.6786461627174338,0.8524614075604716,0.5048309178743962,18287,22848,484,1172,0.02646688904686389,0.05129551820728291,0.02482862916041902,0.0,0.550241082315971,0.550241082315971,True,0.8199288625601403,0.2391828325453053,0.580746030014835,0.0,0.4916044468999989,0.4916044468999989,False
Cx22-Pair.zip,Pair,00000,1,Cx22-Pair:000002,included,,largest_matched_cytoplasm_instance,0,0,384,6941,0.0264892578125,0.05532344042645152,1,not_crowded,118,0.5057373046875,True,low,high,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,0,0,0.7119194386426433,0.8068362480127186,0.6170026292725679,6557,8539,384,757,0.05856336739362513,0.0886520669867666,0.03008869959314147,0.0,0.5875976310954547,0.5875976310954547,True,0.7499437203991139,0.30005626113932393,0.44988745925979,0.04763464678463036,0.5524778754940175,0.5048432287093871,False
Cx22-Pair.zip,Pair,00001,2,Cx22-Pair:000003,included,,largest_matched_cytoplasm_instance,1,0,509,17176,0.06597900390625,0.02963437354448067,2,crowded,185,0.5057373046875,True,middle,high,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,1,0,0.9262710116060084,0.9599455685717666,0.8925964546402503,16667,17137,509,450,0.030539389212215756,0.026258971815370253,0.0042804173968455025,0.0,0.5252045359240584,0.5252045359240584,True,0.7960100731448044,0.6472230686534225,0.14878700449138194,0.3948014542987289,0.8996446830081161,0.5048432287093871,True
Cx22-Pair.zip,Pair,00001,3,Cx22-Pair:000004,included,,largest_matched_cytoplasm_instance,1,1,512,20820,0.079345703125,0.024591738712776177,1,not_crowded,203,0.5057373046875,True,high,middle,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,1,1,0.5690278081643332,0.8482989666399283,0.289756649688738,20308,22078,512,3022,0.025211739216072483,0.1368783404293867,0.11166660121331423,0.0,0.6358239045380748,0.6358239045380748,True,0.8167111242231974,0.7045490761419295,0.11216204808126784,0.45212746178723595,0.9569706904966231,0.5048432287093871,True
Cx22-Pair.zip,Pair,00002,4,Cx22-Pair:000005,included,,largest_matched_cytoplasm_instance,1,0,2317,62553,0.23712158203125,0.03704058958003613,2,crowded,352,0.5057373046875,True,high,high,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,1,0,0.8452477547148725,0.9378884537385979,0.752607055691147,60236,61561,2317,2190,0.03846536954645063,0.03557447085005117,0.002890898696399455,0.0,0.5345200349587392,0.5345200349587392,True,0.8331942151068404,0.655774343448414,0.17741987165842643,0.40335272909372044,0.9081959578031076,0.5048432287093871,True
Cx22-Pair.zip,Pair,00002,5,Cx22-Pair:000006,included,,largest_matched_cytoplasm_instance,1,1,1272,24172,0.0931396484375,0.05262286943571074,1,not_crowded,220,0.5057373046875,True,high,high,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,1,1,0.8573565275111799,0.8648471032797322,0.8498659517426274,22900,25793,1272,1712,0.05554585152838428,0.06637459775908192,0.010828746230697635,0.0,0.56532016186777,0.56532016186777,True,0.7553341245964051,0.7144073505534955,0.040926774042909675,0.4619857361988019,0.966828964908189,0.5048432287093871,True
Cx22-Pair.zip,Pair,00002,6,Cx22-Pair:000007,included,,largest_matched_cytoplasm_instance,0,0,939,32702,0.12451171875,0.02871384013210201,2,crowded,256,0.5057373046875,True,high,middle,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,0,0,0.7339202168219643,0.8924664405484164,0.5753739930955121,31763,31036,939,1668,0.029562698737524793,0.05374403918030674,0.02418134044278195,0.0,0.5526896032889949,0.5526896032889949,True,0.8603546673679965,0.5513762014538683,0.30897846591412814,0.2989545870991748,0.8037978158085619,0.5048432287093871,False
Cx22-Pair.zip,Pair,00004,7,Cx22-Pair:000008,included,,largest_matched_cytoplasm_instance,1,0,529,9162,0.03466796875,0.057738485046932984,2,crowded,135,0.5057373046875,True,low,high,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,1,0,0.89512129028896,0.892060762396102,0.8981818181818182,8633,8812,529,571,0.061276497162052586,0.06479800272355879,0.003521505561506204,0.0,0.5637435668322468,0.5637435668322468,True,0.7654596430854297,0.7784425206144538,0.012982877529024162,0.5260209062597603,1.0,0.4739790937402397,True
Cx22-Pair.zip,Pair,00004,8,Cx22-Pair:000009,included,,largest_matched_cytoplasm_instance,0,0,223,10196,0.0386962890625,0.021871322087092977,2,crowded,142,0.5057373046875,True,low,middle,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,0,0,0.837424263707851,0.8770048616475078,0.7978436657681941,9973,12036,223,148,0.02236037300711922,0.012296444001329345,0.010063929005789876,0.0,0.5112420081100174,0.5112420081100174,True,0.7124977591316507,0.8775997839726805,0.16510202484102976,0.6251781696179869,1.0,0.3748218303820131,True
Cx22-Pair.zip,Pair,00004,9,Cx22-Pair:000010,included,,largest_matched_cytoplasm_instance,0,1,283,15354,0.0584716796875,0.01843167904129217,2,crowded,175,0.5057373046875,True,middle,middle,scale_normalized_known_localisation,largest matched target instance,Crop centre and scale only; never model input or prediction guidance.,0,1,0.7498089520432709,0.9010515958428141,0.5985663082437276,15071,17451,283,275,0.018777785150288634,0.015758409260214313,0.003019375890074321,0.0,0.5147039733689024,0.5147039733689024,True,0.579638457692498,0.5477406471849194,0.03189781050757856,0.29531903283022587,0.800162261539613,0.5048432287093871,True
