axis,stratum,measurement,n_images,n_finite,empirical_coverage,coverage_gap_vs_0p90,mean_absolute_error,mean_foreground_dice,z_score_vs_nominal,two_sided_pvalue_normal_approx,bonferroni_pvalue,bonferroni_significant_0p05
scale_shift_tertile,high,nc_ratio,438,438,0.910958904109589,0.010958904109588996,0.17836191377032076,0.6132867617770685,0.7645095721079914,0.44456363462081655,1.0,False
scale_shift_tertile,high,circularity,438,438,0.6164383561643836,-0.28356164383561644,0.23606829687927922,0.6132867617770685,-19.78168517829436,4.281406645972641e-87,6.850250633556225e-86,True
scale_shift_tertile,low,nc_ratio,443,443,0.9051918735891648,0.0051918735891647305,0.15205471063429274,0.6483469664534797,0.3642543259116074,0.7156681030584089,1.0,False
scale_shift_tertile,low,circularity,443,443,0.7042889390519187,-0.19571106094808133,0.1768307710083912,0.6483469664534797,-13.730804372407263,6.6392299795782125e-43,1.062276796732514e-41,True
scale_shift_tertile,middle,nc_ratio,439,439,0.9248291571753986,0.024829157175398575,0.15032728101650034,0.6343813388839533,1.734095387648826,0.08290115977220566,1.0,False
scale_shift_tertile,middle,circularity,439,439,0.6537585421412301,-0.24624145785876994,0.21242435330300036,0.6343813388839533,-17.1977716885173,2.7594088433357854e-66,4.415054149337257e-65,True
nucleus_occupancy_tertile,high,nc_ratio,440,440,0.9340909090909091,0.03409090909090906,0.13326717255683737,0.6752491574465638,2.383656473113979,0.017141595440795732,0.2742655270527317,False
nucleus_occupancy_tertile,high,circularity,440,440,0.6590909090909091,-0.24090909090909096,0.20639855283752293,0.6752491574465638,-16.844505743338804,1.1512683445420777e-63,1.8420293512673243e-62,True
nucleus_occupancy_tertile,low,nc_ratio,440,440,0.8772727272727273,-0.022727272727272707,0.20495719387052483,0.5899157866787188,-1.5891043154093194,0.11203684368556392,1.0,False
nucleus_occupancy_tertile,low,circularity,440,440,0.6431818181818182,-0.25681818181818183,0.21337813803819763,0.5899157866787188,-17.956878764125324,4.239888757005659e-72,6.783822011209054e-71,True
nucleus_occupancy_tertile,middle,nc_ratio,440,440,0.9295454545454546,0.02954545454545454,0.1424038867740828,0.6310412276185877,2.0658356100321167,0.03884400443611699,0.6215040709778719,False
nucleus_occupancy_tertile,middle,circularity,440,440,0.6727272727272727,-0.2272727272727273,0.20519657432850386,0.6310412276185877,-15.891043154093209,7.310089502881943e-57,1.169614320461111e-55,True
crowding_group,crowded,nc_ratio,785,785,0.9439490445859873,0.04394904458598725,0.12069092719841819,0.6318164904880891,4.104526008927435,4.051446913689427e-05,0.0006482315061903083,True
crowding_group,crowded,circularity,785,785,0.6751592356687898,-0.22484076433121025,0.2015863347168433,0.6318164904880891,-20.998517118136018,6.766474388256276e-98,1.0826359021210041e-96,True
crowding_group,not_crowded,nc_ratio,535,535,0.8691588785046729,-0.03084112149532714,0.21819449263154678,0.6324388234283234,-2.377857356419146,0.01741356070028274,0.27861697120452383,False
crowding_group,not_crowded,circularity,535,535,0.6336448598130842,-0.26635514018691586,0.21821114754604998,0.6324388234283234,-20.536040805438052,1.0259280190743711e-93,1.6414848305189938e-92,True
